,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,IMDBRating,IMDBVotes,IMDBID,Box Office Revenue,Type
0,Dick Johnson Is Dead,2020,PG-13,02 Oct 2020,89.0,"Documentary, Biography, Drama",Kirsten Johnson,"Nels Bangerter, Kirsten Johnson","Michael Hilow, Ana Hoffman, Dick Johnson",A daughter helps her father prepare for the end of his life.,English,United States,Won 1 Primetime Emmy. 19 wins & 43 nominations total,89,7.4,"6,712",tt11394180,,movie
1,Blood & Water,2020–,TV-MA,20 May 2020,53.0,"Drama, Mystery",,,"Ama Qamata, Khosi Ngema, Gail Mabalane",A local teen uncovers her family's secret past and navigates the complicated world of a South African high school.,English,South Africa,3 wins & 6 nominations,,6.6,"3,199",tt9839146,,series
2,Ganglands,2021–,TV-MA,24 Sep 2021,2.0,"Action, Crime, Drama",,"Hamid Hlioua, Julien Leclercq","Tracy Gotoas, Sofia Lesaffre, Salim Kechiouche","Mehdi, a qualified robber, and Liana, an apprentice thief, get involved in a turf war between drug dealers, and have to collaborate in order to save their loved ones.",French,France,,,7.0,"2,700",tt13278100,,series
3,Jailbirds New Orleans,2021–,TV-MA,24 Sep 2021,1.0,"Documentary, Reality-TV",,,,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",English,United States,,,6.7,236,tt15320436,,series
4,Kota Factory,2019–2021,TV-14,28 Aug 2021,45.0,"Comedy, Drama",,Saurabh Khanna,"Mayur More, Jitendra Kumar, Ranjan Raj","Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-d...",Hindi,India,3 wins & 3 nominations,,9.1,"71,633",tt9432978,,series
5,Midnight Mass,2021,TV-MA,24 Sep 2021,40.0,"Drama, Fantasy, Horror",,Mike Flanagan,"Kate Siegel, Zach Gilford, Kristin Lehman","An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest.",English,United States,Nominated for 1 Primetime Emmy. 4 wins & 37 nominations total,,7.7,"115,486",tt10574558,,series
6,My Little Pony: A New Generation,2021,PG,24 Sep 2021,90.0,"Animation, Adventure, Comedy","Robert Cullen, José Luis Ucha, Mark Fattibene","Tim Sullivan, Gillian Berrow, Robert Cullen","Vanessa Hudgens, Kimiko Glenn, James Marsden","After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria.",English,"United States, Ireland, Canada",1 nomination,,6.8,"3,826",tt10101702,,movie
7,Sankofa,1993,,28 May 1993,125.0,Drama,Haile Gerima,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah","A self-absorbed Black American fashion model on a photo shoot in Africa is spiritually transported back to a plantation in the West Indies where she experiences first-hand the physical and psychic horrors of chattel slavery, and e...","Akan, English","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1 nomination,93,7.0,717,tt0108041,"$2,198,984",movie
8,The Great British Baking Show,2010–,TV-PG,27 Dec 2014,1.0,Reality-TV,,,"Paul Hollywood, Mary Berry, Prue Leith",Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,English,United Kingdom,Won 2 BAFTA 10 wins & 23 nominations total,,8.6,"10,443",tt1877368,,series
9,The Starling,2021,PG-13,24 Sep 2021,102.0,"Comedy, Drama",Theodore Melfi,Matt Harris,"Melissa McCarthy, Chris O'Dowd, Kevin Kline","After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity fo...","English, Spanish",United States,2 wins,31,6.3,"13,260",tt5164438,,movie
